UNIVERSIDAD,ABREV.,Régimen,Website,Categoría,% USABILIDAD,AG1,AG2,AG3,AG4,AG5,AG6,AG7,AG8,AG9,AG10,II1,II2,II3,II4,II5,II6,II7,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,RO1,RO2,RO3,RO4,RO5,RO6,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9,LA10,EF1,EF2,EF3,EF4,EF5,EF6,EF7,CR1,CR2,CR3,CR4,CR5,CR6,CR7,CR8,CR9,CR10,EM1,EM2,EM3,EM4,EM5,EM6,BU1,BU2,BU3,BU4,BU5,BU6,BU7,BU8,AY1,AY2,AY3,AY4,AY5
UNIVERSIDAD DE ESPECIALIDADES TURÍSTICAS,UDET,PARTICULAR,http://www.udet.edu.ec/,C,52.7014,6,5,6,6,5,6,NTS,NTS,NTS,,9,,,,,NTS,NTS,NTS,4,4,NPI,NPI,NPI,NTS,,,,NTS,NTS,NTS,NTS,,NPI,NPI,,NPI,,,,NTS,,5,5,,,NPI,,NPI,NPI,,NTS,NTS,NPI,NTS,NPI,NTS,NTS,NTS,NTS,,,,,NTS,,NTS,NPI,NTS,NTS,NTS,,7,7,8,5,,5,0,NTS,0,NTS,0,0
UNIVERSIDAD DE LAS AMÉRICAS,UDLA,PARTICULAR,http://www.udla.edu.ec/,C,75.6872,9,9,8,8,8,9,NTS,NTS,NTS,,,,,,,NTS,NPI,,9,8,,,,,,,,NPI,NTS,NPI,NTS,,,,,,,,,,,9,9,,,,,,,,,NTS,,NTS,,NTS,,NTS,NTS,,,,,NTS,,,,,,NTS,,7,7,7,,0,,0,NTS,0,NTS,0,0
UNIVERSIDAD DEL AZUAY,UDA,PARTICULAR,http://www.uazuay.edu.ec/,B,,5,6,2,4,6,6,,NTS,NTS,NTS,6,,,,,NTS,NTS,NPP,3,5,NTS,NTS,,NTS,,,NTS,,,NTS,NTS,NTS,NTS,NTS,7,NTS,NTS,,NTS,,NTS,3,3,NTS,NTS,NTS,,,,,NTS,,,NTS,NTS,NTS,NTS,NTS,NTS,NTS,NTS,NTS,,NTS,,,NTS,NTS,,NTS,NTS,4,6,6,3,2,1,1,NTS,0,NTS,0,0
UNIVERSIDAD DEL PACÍFICO,UP,PARTICULAR,http://upacifico.edu.ec/web/,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTS,,5,,5,,,,,,,,
UNIVERSIDAD ESTATAL DE BOLÍVAR,UEB,PÚBLICO,http://www.ueb.edu.ec/,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSIDAD TÉCNICA ESTATAL DE QUEVEDO,UTEQ,PÚBLICO,http://uteq.edu.ec/,B,47.5355,7,6,6,6,5,5,,NTS ,NTS,NPI,6,NPP,NPI,,NPP,,NPP,,5,5,NPI,NPP,NEP,NPP,NPI,NPP,NPP,NPP,NPI,NEP,,NTS,NEP,NEP,5,NEP,NTS,NEP,NPP,NPP,NPP,5,5,NPP,NPP,NPI,NPI,,,,NPI,NPI,NPP,NPP,NPI,NPI,NPI,NPI,NPI,NPI,NPI,NPI,,NPI,NTS,,,NPP,NTS,NTS,NTS,0,0,0,0,0,0,0,NTS,0,NTS,0,0
UNIVERSIDAD METROPOLITANA,UMET,PARTICULAR,http://umet.edu.ec/,C,,8,9,9,9,,9,,,,,,,,,,,,,9,,,,,,,NTS,,,,,,NTS,NTS,,9,,,,NTS,,,8,8,,,,,,NTS,,,,,,,,,,,,NTS,NTS,,,,,,NTS,,,,,,,,,9,,,,,8,8
UNIVERSIDAD NACIONAL DE LOJA.,UNL,PÚBLICO,http://www.unl.edu.ec/,B,,,,,,,,,,,,,,,,,,,,,,,,,,,NPP,,,,,,,,,,,NPI,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTS,5,NTS,0,0
UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPÍRITU SANTO,UEES,PARTICULAR,http://uees.me/,C,76.7464,8,8,,9,8,8,,NTS,NTS,,9,,,,,,NEP,,,9,,NTS,,NTS,,,,7,,,NTS,,,,,,NTS,,,,NTS,8,7,,,,,,,,,,NTS,NTS,,NTS,NTS,NTS,NTS,,,,,,,,,,,NTS,,9,9,9,9,,9,8,NTS,0,NTS,2,7
ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ,ESPAM,PÚBLICO,http://espam.edu.ec/,C,64.0995,9,8,8,8,9,,NTS,NTS,NTS,,9,,,NTS,,NTS,,,9,9,,,,,,,,NTS,NTS,,NTS,,,,,,,,,NPI,,9,9,,,,,,,,,NPI,NPI,NTS,,NPI,NPI,NTS,NTS,,,,,NTS,,,,NTS,NTS,NTS,NTS,0,0,0,0,0,0,0,NTS,0,NTS,0,0
UNIVERSIDAD POLITÉCNICA SALESIANA,UPS,PARTICULAR,http://ups.edu.ec/,B,75.9524,,9,9,8,,,,,NPI,,,,,,NEP,NTS,,,9,9,,,,NPI,,NPI,NPI,,NPI,NPI,,,,NPI,7,NPI,,NPI,NPI,,NPI,8,7,,NPI,,,,,,NPI,,NEP,NPI,NPI,NPI,NPI,,NPI,,,,,NPI,NPI,NPI,NPI,,NEP,,NPI,8,5,5,5,0,0,0,NTS,2,NTS,0,0
UNIVERSIDAD REGIONAL AUTÓNOMA DE LOS ANDES,UNIANDES,PARTICULAR,http://www.uniandes.edu.ec/,C,,,,,8,9,9,,,,,,,,NPI,,,,,8,9,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,5,7,9,,8,,,
